v_b,v
-0.2,1.976
-0.19595959595959597,1.976
-0.19191919191919193,1.976
-0.1878787878787879,1.976
-0.18383838383838386,1.978
-0.17979797979797982,1.978
-0.17575757575757578,1.978
-0.1717171717171717,1.978
-0.1676767676767677,1.98
-0.16363636363636364,1.98
-0.15959595959595962,1.98
-0.15555555555555556,1.982
-0.15151515151515152,1.982
-0.14747474747474748,1.982
-0.14343434343434344,1.982
-0.1393939393939394,1.984
-0.13535353535353536,1.984
-0.13131313131313133,1.986
-0.1272727272727273,1.986
-0.12323232323232325,1.986
-0.11919191919191921,1.988
-0.11515151515151516,1.988
-0.11111111111111112,1.988
-0.10707070707070708,1.99
-0.10303030303030304,1.99
-0.098989898989899,1.992
-0.09494949494949496,1.992
-0.09090909090909093,1.994
-0.08686868686868687,1.994
-0.08282828282828283,1.996
-0.0787878787878788,1.996
-0.07474747474747476,1.998
-0.07070707070707072,2.0
-0.06666666666666668,2.0
-0.06262626262626264,2.0020000000000002
-0.0585858585858586,2.0020000000000002
-0.054545454545454564,2.004
-0.050505050505050525,2.004
-0.046464646464646486,2.0060000000000002
-0.04242424242424245,2.008
-0.03838383838383841,2.008
-0.03434343434343434,2.0100000000000002
-0.030303030303030304,2.012
-0.026262626262626265,2.0140000000000002
-0.022222222222222227,2.016
-0.018181818181818188,2.016
-0.01414141414141415,2.0180000000000002
-0.01010101010101011,2.02
-0.006060606060606072,2.0220000000000002
-0.002020202020202033,2.024
0.0020202020202020055,2.024
0.006060606060606044,2.0260000000000002
0.010101010101010083,2.028
0.014141414141414121,2.0300000000000002
0.01818181818181816,2.032
0.0222222222222222,2.0340000000000003
0.026262626262626265,2.0340000000000003
0.030303030303030304,2.036
0.03434343434343434,2.0380000000000003
0.03838383838383838,2.04
0.04242424242424242,2.0420000000000003
0.04646464646464646,2.044
0.0505050505050505,2.0460000000000003
0.05454545454545451,2.048
0.058585858585858575,2.05
0.06262626262626264,2.052
0.06666666666666665,2.054
0.07070707070707072,2.056
0.07474747474747473,2.058
0.0787878787878788,2.06
0.0828282828282828,2.062
0.08686868686868687,2.066
0.09090909090909088,2.066
0.09494949494949495,2.068
0.09898989898989896,2.072
0.10303030303030303,2.074
0.10707070707070704,2.076
0.1111111111111111,2.078
0.11515151515151512,2.08
0.11919191919191918,2.082
0.1232323232323232,2.084
0.12727272727272726,2.088
0.13131313131313133,2.09
0.13535353535353534,2.092
0.1393939393939394,2.094
0.14343434343434341,2.098
0.14747474747474748,2.1
0.1515151515151515,2.102
0.15555555555555556,2.104
0.15959595959595957,2.108
0.16363636363636364,2.11
0.16767676767676765,2.112
0.1717171717171717,2.116
0.17575757575757572,2.118
0.1797979797979798,2.122
0.1838383838383838,2.124
0.18787878787878787,2.126
0.19191919191919193,2.13
0.19595959595959594,2.132
0.2,2.136