vdm,trash,v1,i2
-0.2,-9.5e-09,5.0,3.2400000000000004e-07
-0.19595959595959597,-3.6e-09,5.0,3.2100000000000003e-07
-0.19191919191919193,-2.6e-09,5.0,3.25e-07
-0.1878787878787879,-2.3e-09,5.0,3.2600000000000003e-07
-0.18383838383838386,-1.5e-09,5.0,3.22e-07
-0.17979797979797982,-1.2e-09,5.0,3.25e-07
-0.17575757575757578,-2.5e-09,5.0,3.28e-07
-0.1717171717171717,-1.5e-09,5.0,3.2600000000000003e-07
-0.1676767676767677,-1.2e-09,5.0,3.16e-07
-0.16363636363636364,-1.6e-09,5.0,3.3e-07
-0.15959595959595962,-1.4000000000000001e-09,5.0,3.23e-07
-0.15555555555555556,-1.2e-09,5.0,3.23e-07
-0.15151515151515152,-1.3e-09,5.0,3.1900000000000004e-07
-0.14747474747474748,-1.3e-09,5.0,3.25e-07
-0.14343434343434344,-1.4000000000000001e-09,5.0,3.23e-07
-0.1393939393939394,-9e-10,5.0,3.2400000000000004e-07
-0.13535353535353536,-9e-10,5.0,3.2400000000000004e-07
-0.13131313131313133,-7.000000000000001e-10,5.0,3.23e-07
-0.1272727272727273,-1.2e-09,5.0,3.1900000000000004e-07
-0.12323232323232325,-9e-10,5.0,3.18e-07
-0.11919191919191921,-5e-10,5.0,3.1700000000000005e-07
-0.11515151515151516,-1.1000000000000001e-09,5.0,3.13e-07
-0.11111111111111112,-1.3e-09,5.0,3.1200000000000004e-07
-0.10707070707070708,-9e-10,5.0,3.13e-07
-0.10303030303030304,-1.2e-09,5.0,3.1200000000000004e-07
-0.098989898989899,-1.2e-09,5.0,3.06e-07
-0.09494949494949496,-4e-10,5.0,3.0900000000000003e-07
-0.09090909090909093,-1.2e-09,5.0,3.0200000000000003e-07
-0.08686868686868687,-1.5e-09,5.0,3.0000000000000004e-07
-0.08282828282828283,-1.6e-09,5.0,2.99e-07
-0.0787878787878788,-5e-10,5.0,3.01e-07
-0.07474747474747476,-9e-10,5.0,2.96e-07
-0.07070707070707072,-7.000000000000001e-10,5.0,2.91e-07
-0.06666666666666668,-7.000000000000001e-10,5.0,2.89e-07
-0.06262626262626264,-4e-10,5.0,2.8300000000000003e-07
-0.0585858585858586,-9e-10,5.0,2.77e-07
-0.054545454545454564,-9e-10,5.0,2.75e-07
-0.050505050505050525,-9e-10,5.0,2.68e-07
-0.046464646464646486,-1.2e-09,5.0,2.62e-07
-0.04242424242424245,-1.2e-09,5.0,2.55e-07
-0.03838383838383841,-1e-09,5.0,2.4700000000000003e-07
-0.03434343434343434,-1e-09,5.0,2.39e-07
-0.030303030303030304,-1.3e-09,5.0,2.34e-07
-0.026262626262626265,-1.2e-09,5.0,2.27e-07
-0.022222222222222227,-9e-10,5.0,2.16e-07
-0.018181818181818188,-8e-10,5.0,2.0700000000000001e-07
-0.01414141414141415,-1.1000000000000001e-09,5.0,2.01e-07
-0.01010101010101011,-9e-10,5.0,1.8700000000000002e-07
-0.006060606060606072,-1e-09,5.0,1.8000000000000002e-07
-0.002020202020202033,-7.000000000000001e-10,5.0,1.7000000000000001e-07
0.0020202020202020055,-9e-10,5.0,1.53e-07
0.006060606060606044,-6e-10,5.0,1.49e-07
0.010101010101010083,-5e-10,5.0,1.42e-07
0.014141414141414121,-1.4000000000000001e-09,5.0,1.28e-07
0.01818181818181816,-8e-10,5.0,1.21e-07
0.0222222222222222,-1.2e-09,5.0,1.11e-07
0.026262626262626265,-1.5e-09,5.0,1.04e-07
0.030303030303030304,-1.3e-09,5.0,1.002e-07
0.03434343434343434,-7.000000000000001e-10,5.0,9.14e-08
0.03838383838383838,-8e-10,5.0,8.310000000000001e-08
0.04242424242424242,-8e-10,5.0,7.47e-08
0.04646464646464646,-1.1000000000000001e-09,5.0,7.13e-08
0.0505050505050505,-2e-10,5.0,6.31e-08
0.05454545454545451,-3e-10,5.0,5.91e-08
0.058585858585858575,-3e-10,5.0,5.09e-08
0.06262626262626264,-8e-10,5.0,4.7100000000000005e-08
0.06666666666666665,-9e-10,5.0,4.31e-08
0.07070707070707072,-9e-10,5.0,3.94e-08
0.07474747474747473,-8e-10,5.0,3.36e-08
0.0787878787878788,-8e-10,5.0,2.95e-08
0.0828282828282828,-7.000000000000001e-10,5.0,2.69e-08
0.08686868686868687,-6e-10,5.0,2.47e-08
0.09090909090909088,-8e-10,5.0,2.23e-08
0.09494949494949495,-6e-10,5.0,1.8300000000000002e-08
0.09898989898989896,-6e-10,5.0,1.63e-08
0.10303030303030303,-2e-10,5.0,1.21e-08
0.10707070707070704,-1.2e-09,5.0,1.04e-08
0.1111111111111111,-5e-10,5.0,1.02e-08
0.11515151515151512,-7.000000000000001e-10,5.0,8.5e-09
0.11919191919191918,-8e-10,5.0,8.2e-09
0.1232323232323232,-6e-10,5.0,7.1e-09
0.12727272727272726,-3e-10,5.0,6.5e-09
0.13131313131313133,-7.000000000000001e-10,5.0,3.3e-09
0.13535353535353534,-5e-10,5.0,5.8e-09
0.1393939393939394,-8e-10,5.0,3.4000000000000003e-09
0.14343434343434341,-8e-10,5.0,2.8000000000000003e-09
0.14747474747474748,-4e-10,5.0,3.5000000000000003e-09
0.1515151515151515,-9e-10,5.0,4e-10
0.15555555555555556,-4e-10,5.0,1.2e-09
0.15959595959595957,-1.3e-09,5.0,1.3e-09
0.16363636363636364,-9e-10,5.0,0.0
0.16767676767676765,-1.2e-09,5.0,-4e-10
0.1717171717171717,-5e-10,5.0,-3e-10
0.17575757575757572,-7.000000000000001e-10,5.0,-1.2e-09
0.1797979797979798,-4e-10,5.0,-2.1e-09
0.1838383838383838,-7.000000000000001e-10,5.0,-1.6e-09
0.18787878787878787,-1.1000000000000001e-09,5.0,-1.1000000000000001e-09
0.19191919191919193,-1.6e-09,5.0,-1.5e-09
0.19595959595959594,-1e-09,5.0,7.000000000000001e-10
0.2,-2e-10,5.0,-2.5e-09
