,vdm,v,i1,i2
0,-0.2,1.369,-1e-10,2.96e-07
1,-0.1959595959595959,1.369,-1.6e-09,2.950000000000001e-07
2,-0.1919191919191919,1.369,-7.000000000000001e-10,2.900000000000001e-07
3,-0.1878787878787879,1.369,2e-09,2.9300000000000004e-07
4,-0.1838383838383838,1.369,1.6e-09,2.94e-07
5,-0.1797979797979798,1.369,-2e-10,2.94e-07
6,-0.1757575757575757,1.369,-9e-10,2.89e-07
7,-0.1717171717171717,1.369,1e-09,2.92e-07
8,-0.1676767676767677,1.369,6e-10,2.94e-07
9,-0.1636363636363636,1.369,-1e-10,2.89e-07
10,-0.1595959595959596,1.369,2e-10,2.92e-07
11,-0.1555555555555555,1.369,3.4000000000000003e-09,2.94e-07
12,-0.1515151515151515,1.369,3.3e-09,2.89e-07
13,-0.1474747474747474,1.369,2.5e-09,2.91e-07
14,-0.1434343434343434,1.369,3.4000000000000003e-09,2.92e-07
15,-0.1393939393939394,1.369,4.2e-09,2.89e-07
16,-0.1353535353535353,1.369,3.7e-09,2.87e-07
17,-0.1313131313131313,1.369,3.5e-09,2.8800000000000004e-07
18,-0.1272727272727273,1.369,4.2e-09,2.830000000000001e-07
19,-0.1232323232323232,1.369,5.7000000000000006e-09,2.89e-07
20,-0.1191919191919192,1.369,8.4e-09,2.87e-07
21,-0.1151515151515151,1.37,8.4e-09,2.79e-07
22,-0.1111111111111111,1.37,8.9e-09,2.75e-07
23,-0.107070707070707,1.37,1.13e-08,2.780000000000001e-07
24,-0.103030303030303,1.37,1.51e-08,2.8e-07
25,-0.098989898989899,1.37,1.74e-08,2.780000000000001e-07
26,-0.0949494949494949,1.37,1.89e-08,2.74e-07
27,-0.0909090909090909,1.371,1.9e-08,2.72e-07
28,-0.0868686868686868,1.371,2.32e-08,2.7e-07
29,-0.0828282828282828,1.371,2.44e-08,2.65e-07
30,-0.0787878787878788,1.372,2.7e-08,2.66e-07
31,-0.0747474747474747,1.372,3.17e-08,2.590000000000001e-07
32,-0.0707070707070707,1.372,3.39e-08,2.55e-07
33,-0.0666666666666666,1.373,3.73e-08,2.520000000000001e-07
34,-0.0626262626262626,1.373,4.14e-08,2.55e-07
35,-0.0585858585858586,1.374,4.83e-08,2.4500000000000004e-07
36,-0.0545454545454545,1.374,5.39e-08,2.400000000000001e-07
37,-0.0505050505050505,1.375,5.99e-08,2.33e-07
38,-0.0464646464646464,1.375,6.56e-08,2.27e-07
39,-0.0424242424242424,1.376,6.84e-08,2.2300000000000002e-07
40,-0.0383838383838384,1.377,7.43e-08,2.22e-07
41,-0.0343434343434343,1.378,8.19e-08,2.1300000000000001e-07
42,-0.0303030303030303,1.379,9.16e-08,2.04e-07
43,-0.0262626262626262,1.38,9.59e-08,1.9200000000000005e-07
44,-0.0222222222222222,1.382,1.061e-07,1.9e-07
45,-0.0181818181818181,1.382,1.135e-07,1.8100000000000002e-07
46,-0.0141414141414141,1.384,1.1850000000000001e-07,1.66e-07
47,-0.0101010101010101,1.385,1.283e-07,1.64e-07
48,-0.006060606060606,1.386,1.365e-07,1.58e-07
49,-0.002020202020202,1.388,1.467e-07,1.46e-07
50,0.002020202020202,1.389,1.541e-07,1.4e-07
51,0.006060606060606,1.391,1.5630000000000004e-07,1.31e-07
52,0.01010101010101,1.393,1.7000000000000001e-07,1.1900000000000001e-07
53,0.0141414141414141,1.394,1.7600000000000001e-07,1.14e-07
54,0.0181818181818181,1.397,1.851e-07,1.07e-07
55,0.0222222222222222,1.398,1.932e-07,1.029e-07
56,0.0262626262626262,1.401,1.9900000000000002e-07,9.6e-08
57,0.0303030303030303,1.403,2.08e-07,8.77e-08
58,0.0343434343434343,1.405,2.1300000000000001e-07,8.060000000000002e-08
59,0.0383838383838383,1.407,2.1700000000000002e-07,7.13e-08
60,0.0424242424242424,1.41,2.26e-07,6.82e-08
61,0.0464646464646464,1.412,2.2900000000000005e-07,6.59e-08
62,0.0505050505050505,1.414,2.3600000000000002e-07,6.000000000000002e-08
63,0.0545454545454545,1.417,2.39e-07,5.22e-08
64,0.0585858585858585,1.419,2.470000000000001e-07,4.7700000000000004e-08
65,0.0626262626262626,1.422,2.5000000000000004e-07,4.35e-08
66,0.0666666666666666,1.425,2.56e-07,3.9e-08
67,0.0707070707070707,1.427,2.5700000000000004e-07,3.74e-08
68,0.0747474747474747,1.43,2.63e-07,3.09e-08
69,0.0787878787878788,1.433,2.62e-07,2.88e-08
70,0.0828282828282828,1.436,2.61e-07,2.5700000000000002e-08
71,0.0868686868686868,1.439,2.7e-07,2.27e-08
72,0.0909090909090908,1.441,2.77e-07,1.87e-08
73,0.0949494949494949,1.444,2.760000000000001e-07,1.8e-08
74,0.0989898989898989,1.447,2.77e-07,1.62e-08
75,0.103030303030303,1.45,2.77e-07,1.39e-08
76,0.107070707070707,1.453,2.8100000000000004e-07,1.39e-08
77,0.1111111111111111,1.456,2.84e-07,1.12e-08
78,0.1151515151515151,1.459,2.84e-07,7.8e-09
79,0.1191919191919191,1.462,2.85e-07,8.7e-09
80,0.1232323232323232,1.465,2.79e-07,5.6000000000000005e-09
81,0.1272727272727272,1.468,2.89e-07,5.3e-09
82,0.1313131313131313,1.471,2.84e-07,6.5e-09
83,0.1353535353535353,1.474,2.900000000000001e-07,2.4e-09
84,0.1393939393939394,1.477,2.89e-07,4.7e-09
85,0.1434343434343434,1.48,2.87e-07,3.5e-09
86,0.1474747474747474,1.483,2.89e-07,1.3e-09
87,0.1515151515151515,1.486,2.85e-07,3.2e-09
88,0.1555555555555555,1.489,2.900000000000001e-07,1.8e-09
89,0.1595959595959595,1.492,2.950000000000001e-07,-1.1e-09
90,0.1636363636363636,1.495,2.94e-07,8e-10
91,0.1676767676767676,1.498,2.9300000000000004e-07,-3e-10
92,0.1717171717171717,1.502,2.92e-07,-6e-10
93,0.1757575757575757,1.505,2.950000000000001e-07,-8e-10
94,0.1797979797979798,1.508,2.91e-07,1.1e-09
95,0.1838383838383838,1.511,2.92e-07,-1.7e-09
96,0.1878787878787878,1.514,2.98e-07,-1.9e-09
97,0.1919191919191919,1.517,2.950000000000001e-07,-5e-10
98,0.1959595959595959,1.52,2.950000000000001e-07,6e-10
99,0.2,1.523,2.96e-07,1.1e-09
